nucleo,processo,vara,data,prioridades,dias
5ª CC,0000058-57.2023.8.17.2100,1ª Vara Cível da Comarca de Abreu e Lima,21/02/2025,Sem prioridade,13
5ª CC,0000304-29.2018.8.17.2100,1ª Vara Cível da Comarca de Abreu e Lima,25/02/2025,Sem prioridade,9
5ª CC,0000649-82.2024.8.17.2100,1ª Vara Cível da Comarca de Abreu e Lima,06/03/2025,Prioridade Legal,0
4ª CCJ,0000888-62.2019.8.17.2100,1ª Vara Cível da Comarca de Abreu e Lima,27/02/2025,Sem prioridade,6
5ª CC,0000966-22.2020.8.17.2100,1ª Vara Cível da Comarca de Abreu e Lima,06/03/2025,Prioridade Legal,0
5ª CC,0002332-28.2022.8.17.2100,1ª Vara Cível da Comarca de Abreu e Lima,24/02/2025,Prioridade Legal,10
5ª CC,0002406-58.2017.8.17.2100,1ª Vara Cível da Comarca de Abreu e Lima,06/03/2025,Sem prioridade,0
4ª CCJ,0003126-49.2022.8.17.2100,1ª Vara Cível da Comarca de Abreu e Lima,06/02/2025,Sem prioridade,27
4ª CCJ,0001089-94.2006.8.17.0100,2ª Vara Cível da Comarca de Abreu e Lima,12/02/2025,Sem prioridade,22
4ª CCJ,0003035-90.2021.8.17.2100,2ª Vara Cível da Comarca de Abreu e Lima,14/02/2025,Sem prioridade,20
5ª CC,0003989-68.2023.8.17.2100,2ª Vara Cível da Comarca de Abreu e Lima,24/02/2025,Sem prioridade,10
5ª CC,0000692-87.2022.8.17.2100,3ª Vara Cível da Comarca de Abreu e Lima,26/02/2025,Sem prioridade,8
4ª CCJ,0002748-30.2021.8.17.2100,3ª Vara Cível da Comarca de Abreu e Lima,05/02/2025,Sem prioridade,29
4ª CCJ,0003237-67.2021.8.17.2100,3ª Vara Cível da Comarca de Abreu e Lima,19/02/2025,Prioridade Legal,14
2ª CC,0000152-02.2022.8.17.4990,Vara Criminal da Comarca de Abreu e Lima,27/02/2025,Prioridade Legal,7
2ª CC,0000661-71.2021.8.17.5990,Vara Criminal da Comarca de Abreu e Lima,27/02/2025,Sem prioridade,7
2ª CC,0001079-38.2023.8.17.5990,Vara Criminal da Comarca de Abreu e Lima,26/02/2025,Sem prioridade,8
2ª CC,0003160-95.2018.8.17.0990,Vara Criminal da Comarca de Abreu e Lima,23/02/2025,Sem prioridade,11
2ª CC,0003967-47.2020.8.17.0990,Vara Criminal da Comarca de Abreu e Lima,25/02/2025,Sem prioridade,9
2ª CC,0000215-54.2021.8.17.0110,1ª Vara Criminal da Comarca de Afogados da Ingazeira,20/02/2025,Sem prioridade,14
6ª CCJ,0000297-36.2020.8.17.2110,1ª Vara Cível da Comarca de Afogados da Ingazeira,06/02/2025,Sem prioridade,28
6ª CCJ,0000426-70.2022.8.17.2110,1ª Vara Cível da Comarca de Afogados da Ingazeira,31/01/2025,Sem prioridade,34
6ª CCJ,0001100-19.2020.8.17.2110,1ª Vara Cível da Comarca de Afogados da Ingazeira,30/01/2025,Sem prioridade,35
6ª CCJ,0001178-71.2024.8.17.2110,1ª Vara Cível da Comarca de Afogados da Ingazeira,20/02/2025,Prioridade Legal,14
6ª CCJ,0001200-32.2024.8.17.2110,1ª Vara Cível da Comarca de Afogados da Ingazeira,20/02/2025,Prioridade Legal,14
6ª CCJ,0001201-17.2024.8.17.2110,1ª Vara Cível da Comarca de Afogados da Ingazeira,26/02/2025,Prioridade Legal,8
6ª CCJ,0001220-62.2020.8.17.2110,1ª Vara Cível da Comarca de Afogados da Ingazeira,28/01/2025,Sem prioridade,36
6ª CCJ,0001274-87.2015.8.17.0110,1ª Vara Cível da Comarca de Afogados da Ingazeira,20/02/2025,Sem prioridade,14
6ª CCJ,0001289-02.2017.8.17.2110,1ª Vara Cível da Comarca de Afogados da Ingazeira,04/02/2025,Sem prioridade,30
7ª CC,0001436-23.2020.8.17.2110,1ª Vara Cível da Comarca de Afogados da Ingazeira,26/02/2025,Sem prioridade,8
6ª CCJ,0001474-40.2017.8.17.2110,1ª Vara Cível da Comarca de Afogados da Ingazeira,13/02/2025,Prioridade Legal,21
